Model,Variable,Variable Used in Risk Score Formula?,Platinum Level,Gold Level,Silver Level,Bronze Level,Catastrophic Level
Adult,HHS_HCC218,Yes,18.976,18.728,18.594,18.523,18.52
Adult,HHS_HCC219,Yes,2.884,2.767,2.683,2.612,2.609
Adult,HHS_HCC223,Yes,15.439,15.331,15.26,15.212,15.21
Adult,HHS_HCC226,Yes,8.537,8.317,8.23,8.224,8.225
Adult,HHS_HCC228,Yes,4.959,4.798,4.692,4.599,4.596
Adult,HHS_HCC234,Yes,5.447,5.311,5.258,5.255,5.256
Adult,HHS_HCC251,Yes,25.813,25.812,25.822,25.845,25.846
Adult,HHS_HCC253,Yes,7.305,7.24,7.229,7.258,7.259
Adult,HHS_HCC254,Yes,1.987,1.884,1.83,1.795,1.795
Adult,G01,Yes,0.427,0.36,0.299,0.243,0.24
Adult,G02B,Yes,29.195,29.017,28.94,28.93,28.931
Adult,G04,Yes,2.433,2.281,2.177,2.083,2.08
Adult,G06A,Yes,14.086,13.994,13.949,13.929,13.928
Adult,G07A,Yes,2.795,2.679,2.593,2.514,2.511
Adult,G08,Yes,4.77,4.683,4.639,4.615,4.614
Adult,G09A,Yes,2.622,2.446,2.303,2.144,2.138
Adult,G09C,Yes,1.224,1.095,0.995,0.891,0.887
Adult,G10,Yes,11.562,11.447,11.385,11.344,11.343
Adult,G11,Yes,7.825,7.689,7.61,7.549,7.547
Adult,G12,Yes,1.763,1.654,1.559,1.447,1.442
Adult,G13,Yes,6.658,6.534,6.52,6.581,6.585
Adult,G14,Yes,26.896,26.755,26.704,26.706,26.708
Adult,G21,Yes,2.586,2.489,2.409,2.341,2.338
Adult,G15A,Yes,0.771,0.673,0.576,0.472,0.468
Adult,G16,Yes,0.953,0.912,0.9,0.91,0.911
Adult,G17A,Yes,0.848,0.732,0.579,0.375,0.365
Adult,G18A,Yes,4.049,3.741,3.498,3.132,3.123
Adult,INT_GROUP_H,Yes,6.236,6.388,6.514,6.663,6.667
Adult,ED_1,Yes,0.281,0.23,0.209,0.192,0.191
Adult,ED_2,Yes,0.269,0.218,0.196,0.181,0.18
Adult,ED_3,Yes,0.268,0.217,0.193,0.178,0.177
Adult,ED_4,Yes,0.217,0.171,0.148,0.136,0.136
Adult,ED_5,Yes,0.203,0.162,0.139,0.127,0.127
Adult,ED_6,Yes,0.17,0.134,0.113,0.102,0.101
Adult,ED_7,Yes,0.128,0.101,0.084,0.074,0.074
Adult,ED_8,Yes,0.088,0.069,0.055,0.048,0.048
Adult,ED_9,Yes,0.049,0.036,0.027,0.021,0.021
Adult,ED_10,Yes,0.004,0.001,0,0,0
Adult,ED_11,Yes,0.001,0,0,0,0
Adult,RXC_01,Yes,8.719,8.138,7.742,7.323,7.313
Adult,RXC_02,Yes,6.743,6.306,6.111,6.038,6.042
Adult,RXC_03,Yes,0.113,0.103,0.1,0.067,0.049
Adult,RXC_04,Yes,2.045,2.052,2.043,1.988,1.911
Adult,RXC_05,Yes,1.805,1.67,1.528,1.322,1.314
Adult,RXC_06,Yes,1.626,1.437,1.238,1.043,1.035
Adult,RXC_07,Yes,0.785,0.676,0.555,0.397,0.391
Adult,RXC_08,Yes,23.781,22.923,22.485,22.214,22.215
Adult,RXC_09,Yes,17.156,16.64,16.445,16.445,16.448
Adult,RXC_10,Yes,17.919,17.605,17.496,17.496,17.499
Adult,RXC_01_x_HCC001,Yes,2.213,2.397,2.671,3.133,3.148
Adult,RXC_02_x_HCC037_1_036_035_2_035_1_034,Yes,-0.658,-0.55,-0.444,-0.312,-0.308
Adult,RXC_03_x_HCC142,Yes,0,0,0,0,0
Adult,RXC_04_x_HCC184_183_187_188,Yes,0,0,0,0,0
Adult,RXC_05_x_HCC048_041,Yes,-0.374,-0.313,-0.248,-0.17,-0.167
Adult,RXC_06_x_HCC018_019_020_021,Yes,0.214,0.281,0.371,0.402,0.404
Adult,RXC_07_x_HCC018_019_020_021,Yes,-0.427,-0.36,-0.299,-0.243,-0.24
Adult,RXC_08_x_HCC118,Yes,-0.256,0.207,0.55,0.938,0.944
Adult,RXC_09_x_HCC056_057_and_048_041,Yes,0.859,0.989,1.098,1.229,1.234
Adult,RXC_09_x_HCC056,Yes,-1.372,-1.265,-1.169,-1.076,-1.072
Adult,RXC_09_x_HCC057,Yes,-0.658,-0.562,-0.458,-0.335,-0.33
Adult,RXC_09_x_HCC048_041,Yes,-0.25,-0.202,-0.156,-0.098,-0.096
Adult,RXC_10_x_HCC159_158,Yes,47.572,47.627,47.694,47.819,47.822
,,,,,,,
Child,MAGE_LAST_2_4,Yes,0.23,0.162,0.112,0.073,0.072
Child,MAGE_LAST_5_9,Yes,0.17,0.112,0.071,0.045,0.044
Child,MAGE_LAST_10_14,Yes,0.203,0.143,0.099,0.072,0.071
Child,MAGE_LAST_15_20,Yes,0.243,0.179,0.126,0.087,0.086
Child,FAGE_LAST_2_4,Yes,0.177,0.118,0.079,0.051,0.05
Child,FAGE_LAST_5_9,Yes,0.122,0.07,0.037,0.016,0.015
Child,FAGE_LAST_10_14,Yes,0.191,0.134,0.092,0.068,0.067
Child,FAGE_LAST_15_20,Yes,0.265,0.187,0.122,0.073,0.071
Child,HHS_HCC001,Yes,5.846,5.446,5.222,5.058,5.054
Child,HHS_HCC002,Yes,13.076,12.93,12.869,12.835,12.836
Child,HHS_HCC003,Yes,8.033,7.897,7.841,7.828,7.829
Child,HHS_HCC004,Yes,2.626,2.467,2.337,2.169,2.164
Child,HHS_HCC006,Yes,14.919,14.904,14.887,14.864,14.863
Child,HHS_HCC008,Yes,35.966,35.74,35.635,35.613,35.613
Child,HHS_HCC009,Yes,9.22,8.99,8.841,8.727,8.723
Child,HHS_HCC010,Yes,7.178,6.963,6.81,6.674,6.67
Child,HHS_HCC011,Yes,4.342,4.197,4.079,3.955,3.95
Child,HHS_HCC012,Yes,4.342,4.197,4.079,3.955,3.95
Child,HHS_HCC013,Yes,0.924,0.809,0.7,0.579,0.575
Child,HHS_HCC018,Yes,8.841,8.686,8.586,8.485,8.483
Child,HHS_HCC019,Yes,0,0,0,0,0
Child,HHS_HCC020,Yes,0,0,0,0,0
Child,HHS_HCC021,Yes,0,0,0,0,0
Child,HHS_HCC023,Yes,13.566,13.485,13.464,13.485,13.486
Child,HHS_HCC026,Yes,0,0,0,0,0
Child,HHS_HCC027,Yes,0,0,0,0,0
Child,HHS_HCC028,Yes,0,0,0,0,0
Child,HHS_HCC029,Yes,0,0,0,0,0
Child,HHS_HCC030,Yes,6.837,6.621,6.5,6.442,6.44
Child,HHS_HCC034,Yes,8.841,8.686,8.586,8.485,8.483
Child,HHS_HCC035_1,Yes,17.574,17.546,17.579,17.664,17.668
Child,HHS_HCC035_2,Yes,13.757,13.669,13.631,13.602,13.601
Child,HHS_HCC036,Yes,4.121,4.067,4.026,3.972,3.974
Child,HHS_HCC037_1,Yes,2.621,2.479,2.402,2.39,2.391
Child,HHS_HCC037_2,Yes,0.132,0.091,0.054,0.016,0.015
Child,HHS_HCC041,Yes,16.842,16.819,16.822,16.83,16.829
Child,HHS_HCC042,Yes,11.679,11.439,11.329,11.294,11.295
Child,HHS_HCC045,Yes,5.173,5.01,4.892,4.779,4.775
Child,HHS_HCC046,Yes,12.085,11.919,11.851,11.844,11.845
Child,HHS_HCC047,Yes,7.147,6.966,6.85,6.733,6.731
Child,HHS_HCC048,Yes,9.151,8.799,8.595,8.441,8.437
Child,HHS_HCC054,Yes,0,0,0,0,0
Child,HHS_HCC055,Yes,0,0,0,0,0
Child,HHS_HCC056,Yes,5.087,4.86,4.711,4.609,4.606
Child,HHS_HCC057,Yes,0.678,0.566,0.45,0.321,0.316
Child,HHS_HCC061,Yes,0,0,0,0,0
Child,HHS_HCC062,Yes,0,0,0,0,0
Child,HHS_HCC063,Yes,1.185,1.042,0.922,0.789,0.784
Child,HHS_HCC066,Yes,71.879,71.45,71.242,71.155,71.154
Child,HHS_HCC067,Yes,0,0,0,0,0
Child,HHS_HCC068,Yes,0,0,0,0,0
Child,HHS_HCC069,Yes,0,0,0,0,0
Child,HHS_HCC070,Yes,0,0,0,0,0
Child,HHS_HCC071,Yes,0,0,0,0,0
Child,HHS_HCC073,Yes,0,0,0,0,0
Child,HHS_HCC074,Yes,0,0,0,0,0
Child,HHS_HCC075,Yes,4.605,4.499,4.413,4.331,4.329
Child,HHS_HCC081,Yes,0,0,0,0,0
Child,HHS_HCC082,Yes,0,0,0,0,0
Child,HHS_HCC083,Yes,0,0,0,0,0
Child,HHS_HCC084,Yes,0,0,0,0,0
Child,HHS_HCC087_1,Yes,4.606,4.331,4.146,3.976,3.97
Child,HHS_HCC087_2,Yes,3.008,2.8,2.63,2.454,2.448
Child,HHS_HCC088,Yes,2.668,2.474,2.307,2.135,2.128
Child,HHS_HCC090,Yes,0.452,0.356,0.244,0.126,0.121
Child,HHS_HCC094,Yes,2.154,1.987,1.858,1.74,1.736
Child,HHS_HCC096,Yes,1.637,1.531,1.457,1.379,1.376
Child,HHS_HCC097,Yes,1.447,1.334,1.245,1.151,1.148
Child,HHS_HCC102,Yes,2.668,2.474,2.307,2.135,2.128
Child,HHS_HCC103,Yes,0.457,0.369,0.267,0.166,0.162
Child,HHS_HCC106,Yes,0,0,0,0,0
Child,HHS_HCC107,Yes,0,0,0,0,0
Child,HHS_HCC108,Yes,0,0,0,0,0
Child,HHS_HCC109,Yes,0,0,0,0,0
Child,HHS_HCC110,Yes,3.939,3.77,3.64,3.514,3.509
Child,HHS_HCC111,Yes,31.125,30.906,30.769,30.671,30.669
Child,HHS_HCC112,Yes,3.767,3.62,3.568,3.551,3.553
Child,HHS_HCC113,Yes,0.599,0.481,0.379,0.257,0.252
Child,HHS_HCC114,Yes,2.207,2.103,2.029,1.96,1.957
Child,HHS_HCC115,Yes,11.008,10.884,10.839,10.844,10.845
Child,HHS_HCC117,Yes,0,0,0,0,0
Child,HHS_HCC118,Yes,12.97,12.611,12.453,12.402,12.402
Child,HHS_HCC119,Yes,0,0,0,0,0
Child,HHS_HCC120,Yes,2.113,1.977,1.844,1.705,1.699
Child,HHS_HCC121,Yes,4.439,4.348,4.29,4.251,4.25
Child,HHS_HCC122,Yes,4.611,4.505,4.439,4.386,4.385
Child,HHS_HCC123,Yes,5.128,4.967,4.827,4.671,4.664
Child,HHS_HCC125,Yes,31.476,31.422,31.478,31.622,31.628
Child,HHS_HCC126,Yes,0,0,0,0,0
Child,HHS_HCC127,Yes,0,0,0,0,0
Child,HHS_HCC128,Yes,0,0,0,0,0
Child,HHS_HCC129,Yes,0,0,0,0,0
Child,HHS_HCC130,Yes,6.072,5.984,5.925,5.881,5.879
Child,HHS_HCC131,Yes,0,0,0,0,0
Child,HHS_HCC132,Yes,0,0,0,0,0
Child,HHS_HCC135,Yes,11.667,11.585,11.544,11.523,11.522
Child,HHS_HCC137,Yes,3.945,3.787,3.648,3.536,3.532
Child,HHS_HCC138,Yes,1.238,1.131,1.01,0.907,0.903
Child,HHS_HCC139,Yes,0.75,0.653,0.558,0.481,0.479
Child,HHS_HCC142,Yes,3.495,3.352,3.245,3.157,3.154
Child,HHS_HCC145,Yes,9.192,9.061,9.001,8.97,8.969
Child,HHS_HCC146,Yes,2.749,2.696,2.677,2.666,2.667
Child,HHS_HCC149,Yes,3.235,3.082,2.98,2.885,2.881
Child,HHS_HCC150,Yes,6.65,6.551,6.492,6.441,6.439
Child,HHS_HCC151,Yes,4.1,3.979,3.898,3.817,3.813
Child,HHS_HCC153,Yes,12.487,12.317,12.221,12.151,12.15
Child,HHS_HCC154,Yes,10.67,10.6,10.582,10.602,10.604
Child,HHS_HCC156,Yes,16.697,16.623,16.602,16.606,16.607
Child,HHS_HCC158,Yes,16.842,16.819,16.822,16.83,16.829
Child,HHS_HCC159,Yes,48.89,48.432,48.224,48.173,48.173
Child,HHS_HCC160,Yes,2.923,2.793,2.682,2.564,2.561
Child,HHS_HCC161_1,Yes,0.807,0.642,0.473,0.284,0.277
Child,HHS_HCC161_2,Yes,0.326,0.244,0.155,0.081,0.078
Child,HHS_HCC162,Yes,1.481,1.388,1.299,1.221,1.218
Child,HHS_HCC163,Yes,6.551,6.508,6.495,6.508,6.509
Child,HHS_HCC183,Yes,8.841,8.686,8.586,8.485,8.483
Child,HHS_HCC184,Yes,41.577,41.472,41.473,41.558,41.561
Child,HHS_HCC187,Yes,0,0,0,0,0
Child,HHS_HCC188,Yes,0,0,0,0,0
Child,HHS_HCC203,Yes,1.923,1.71,1.517,1.269,1.263
Child,HHS_HCC204,Yes,0,0,0,0,0
Child,HHS_HCC205,Yes,0,0,0,0,0
Child,HHS_HCC207,Yes,0,0,0,0,0
Child,HHS_HCC208,Yes,0,0,0,0,0
Child,HHS_HCC209,Yes,2.381,2.158,1.902,1.424,1.402
Child,HHS_HCC210,Yes,0,0,0,0,0
Child,HHS_HCC211,Yes,0,0,0,0,0
Child,HHS_HCC212,Yes,0.349,0.244,0.12,0.014,0.011
Child,HHS_HCC217,Yes,2.815,2.721,2.638,2.567,2.565
Child,HHS_HCC218,Yes,16.569,16.375,16.274,16.231,16.229
Child,HHS_HCC219,Yes,2.06,1.921,1.808,1.694,1.69
Child,HHS_HCC223,Yes,16.569,16.375,16.274,16.231,16.229
Child,HHS_HCC226,Yes,4.53,4.32,4.167,4.054,4.052
Child,HHS_HCC228,Yes,3.934,3.751,3.603,3.446,3.44
Child,HHS_HCC234,Yes,0,0,0,0,0
Child,HHS_HCC251,Yes,16.842,16.819,16.822,16.83,16.829
Child,HHS_HCC253,Yes,10.291,10.196,10.202,10.268,10.272
Child,HHS_HCC254,Yes,0,0,0,0,0
Child,G01,Yes,2.612,2.363,2.134,1.805,1.795
Child,G02B,Yes,39.839,39.617,39.513,39.472,39.471
Child,G02D,Yes,5.822,5.719,5.642,5.576,5.573
Child,G03,Yes,3.587,3.403,3.278,3.181,3.178
Child,G04,Yes,1.313,1.21,1.124,1.042,1.039
Child,G06A,Yes,15.28,15.144,15.071,15.026,15.025
Child,G07A,Yes,5.41,5.204,5.058,4.935,4.931
Child,G08,Yes,5.839,5.714,5.636,5.578,5.576
Child,G09A,Yes,2.924,2.758,2.632,2.496,2.491
Child,G09C,Yes,1.113,0.972,0.844,0.716,0.712
Child,G10,Yes,11.9,11.756,11.694,11.68,11.681
Child,G11,Yes,8.823,8.627,8.523,8.442,8.44
Child,G12,Yes,4.534,4.387,4.277,4.164,4.161
Child,G13,Yes,10.252,10.067,9.988,9.945,9.946
Child,G14,Yes,16.842,16.819,16.822,16.83,16.829
Child,G23,Yes,2.568,2.506,2.484,2.472,2.473
Child,G16,Yes,4.6,4.492,4.394,4.283,4.279
Child,G17A,Yes,0.748,0.621,0.449,0.237,0.227
Child,G18A,Yes,3.475,3.173,2.908,2.463,2.447
Child,G19B,Yes,0.695,0.548,0.358,0.177,0.172
Child,G22,Yes,4.758,4.565,4.43,4.284,4.279
,,,,,,,
Infant,EXTREMELY_IMMATURE_X_SEVERITY5,Yes,219.854,218.55,217.927,217.743,217.744
Infant,EXTREMELY_IMMATURE_X_SEVERITY4,Yes,142.713,141.194,140.396,140.023,140.018
Infant,EXTREMELY_IMMATURE_X_SEVERITY3,Yes,32.417,31.185,30.495,30.117,30.109
Infant,EXTREMELY_IMMATURE_X_SEVERITY2,Yes,32.417,31.185,30.495,30.117,30.109
Infant,EXTREMELY_IMMATURE_X_SEVERITY1,Yes,32.417,31.185,30.495,30.117,30.109
Infant,IMMATURE_X_SEVERITY5,Yes,130.15,128.727,128.031,127.783,127.781
Infant,IMMATURE_X_SEVERITY4,Yes,68.882,67.469,66.748,66.449,66.443
Infant,IMMATURE_X_SEVERITY3,Yes,32.417,31.185,30.495,30.117,30.109
Infant,IMMATURE_X_SEVERITY2,Yes,25.4,24.244,23.568,23.149,23.138
Infant,IMMATURE_X_SEVERITY1,Yes,25.4,24.244,23.568,23.149,23.138
Infant,PREMATURE_MULTIPLES_X_SEVERITY5,Yes,107.912,106.702,106.087,105.833,105.828
Infant,PREMATURE_MULTIPLES_X_SEVERITY4,Yes,28.422,27.186,26.499,26.11,26.103
Infant,PREMATURE_MULTIPLES_X_SEVERITY3,Yes,14.035,13.101,12.435,11.838,11.817
Infant,PREMATURE_MULTIPLES_X_SEVERITY2,Yes,7.977,7.29,6.663,5.951,5.922
Infant,PREMATURE_MULTIPLES_X_SEVERITY1,Yes,5.674,5.092,4.517,3.966,3.945
Infant,TERM_X_SEVERITY5,Yes,81.816,80.759,80.174,79.859,79.852
Infant,TERM_X_SEVERITY4,Yes,15.824,14.941,14.315,13.754,13.738
Infant,TERM_X_SEVERITY3,Yes,5.991,5.423,4.855,4.253,4.23
Infant,TERM_X_SEVERITY2,Yes,3.567,3.09,2.524,1.922,1.897
Infant,TERM_X_SEVERITY1,Yes,1.808,1.45,1.001,0.72,0.71
Infant,AGE1_X_SEVERITY5,Yes,62.403,61.77,61.417,61.239,61.234
Infant,AGE1_X_SEVERITY4,Yes,12.415,11.949,11.629,11.372,11.364
Infant,AGE1_X_SEVERITY3,Yes,3.129,2.858,2.629,2.433,2.426
Infant,AGE1_X_SEVERITY2,Yes,1.972,1.743,1.522,1.314,1.306
Infant,AGE1_X_SEVERITY1,Yes,0.571,0.494,0.441,0.403,0.402
Infant,AGE0_MALE,Yes,0.606,0.567,0.529,0.46,0.457
Infant,AGE1_MALE,Yes,0.103,0.086,0.069,0.05,0.049
